B (tesla),P (w/kg),P (W/m^3)
0.1,0.016502097,126.2410421
0.109056278,0.019664266,150.4316349
0.136628796,0.029541207,225.9902336
0.158599299,0.039649034,303.3151101
0.177827941,0.048749186,372.9312729
0.197324393,0.061074504,467.2199556
0.214449627,0.070094384,536.2220376
0.232254379,0.079445235,607.7560478
0.249798823,0.090043587,688.8334406
0.296063985,0.120098527,918.7537316
0.396179107,0.190880464,1460.23555
0.49806865,0.274458722,2099.609223
0.594424053,0.363783301,2782.942253
0.69722592,0.467317801,3574.981178
0.800966699,0.581816094,4450.893119
0.901196109,0.706451173,5404.351473
0.96591688,0.7956968,6087.08052
1.031701866,0.890622989,6813.265866
1.495198313,1.495198313,11438.26709
